ËõĞ´	Ó¢ÎÄ	ÖĞÎÄ	Àà±ğ
AMLS	automatic music locate system	×Ô¶¯ÒôÀÖ¶¨Î»ÏµÍ³	ÒôÆµĞ§¹û ´¦Àí
AMP	ampere	°²Åà	ÒôÆµÓ²¼ş Éè±¸
AMP	amplifier	·Å´óÆ÷	ÆäËû Í¨ÓÃÊõÓï
AMPL	amplification	·Å´ó	ÒôÆµÓ²¼ş Éè±¸
AMP	amplitude	·ù¶È£¬¾àÀë	ÒôÆµĞ§¹û ´¦Àí
null	Amorphous head	·Ç¾§Ì¬´ÅÍ·	ÒôÆµĞÅºÅ ²ÎÊı
null	Abort	ÖÕÖ¹£¬Í£Ö¹£¨Â¼ÖÆ»ò²¥·Å£©	ÒôÆµÓ²¼ş Éè±¸
A-B	TEST	AB±È½ÏÊÔÌı	ÆäËû Í¨ÓÃÊõÓï
null	Absorber	¼õÕğÆ÷	ÒôÆµĞ§¹û ´¦Àí
null	Absorption	ÉùÒô±»ÎïÌåÎüÊÕ	ÒôÆµÓ²¼ş Éè±¸
ABX	acoustic bass extension	µÍÒôÀ©Õ¹	ÒôÆµĞ§¹û ´¦Àí
AC	accumulator	³äµçµç³Ø	ÒôÆµĞ§¹û ´¦Àí
AC	adjustment caliration	µ÷½Ú-Ğ£×¼	ÒôÆµÓ²¼ş Éè±¸
AC	alternating current	½»Á÷µç£¬½»Á÷	ÆäËû Í¨ÓÃÊõÓï
AC	audio coding	ÊıÂëÉù£¬ÒôÆµ±àÂë	ÒôÆµÓ²¼ş Éè±¸
AC	audio center	ÒôÆµÖĞĞÄ	ÒôÆµĞÅºÅ ²ÎÊı
AC	azimuth comprator	·½Î»±È½ÏÆ÷	ÒôÆµÓ²¼ş Éè±¸
null	AC-3	¶Å±ÈÊıÂë»·ÈÆÉùÏµÍ³	ÒôÆµÓ²¼ş Éè±¸
AC-3	RF	¶Å±ÈÊıÂë»·ÈÆÉùÊı¾İÁ÷£¨½Ó¿Ú£©	ÒôÆµÓ²¼ş Éè±¸
ACC	Acceleration	¼ÓËÙ	ÆäËû Í¨ÓÃÊõÓï
null	Accel	½¥¿ì£¬¼ÓËÙ	ÆäËû Í¨ÓÃÊõÓï
null	Accent	ÖØÒô£¬Éùµ÷	ÆäËû Í¨ÓÃÊõÓï
null	Accentuator	Ô¤¼ÓÖØµçÂ·	ÒôÆµÓ²¼ş Éè±¸
null	Access	´æÈ¡£¬½øÈë£¬Ôö¼Ó£¬Í¨Â·	ÆäËû Í¨ÓÃÊõÓï
null	Accessory	¸½¼ş£¨½Ó¿Ú£©£¬Åä¼ş	ÆäËû Í¨ÓÃÊõÓï
null	Acryl	±û»ùõ£»ù	ÆäËû Í¨ÓÃÊõÓï
null	Accompaniment	°é×à£¬ºÏ×à£¬°éËæ	ÆäËû Í¨ÓÃÊõÓï
null	Accord	ºÍĞ³£¬µ÷ºÍ	ÆäËû Í¨ÓÃÊõÓï
null	Accordion	ÊÖ·çÇÙ	ÆäËû Í¨ÓÃÊõÓï
ACD	automatic call distributor	×Ô¶¯ºô½Ğ·ÖÅäÆ÷	ÆäËû Í¨ÓÃÊõÓï
ACE	audio control erasing	ÒôÆµ¿ØÖÆÏû´Å	ÒôÆµĞ§¹û ´¦Àí
null	A-Channel	A£¨×ó£©ÉùµÀ	ÒôÆµÓ²¼ş Éè±¸
null	Acoumeter	²âÌı¼Æ	ÒôÆµÓ²¼ş Éè±¸
null	Acoustical	ÉùµÄ£¬ÉùÒôµÄ	ÆäËû Í¨ÓÃÊõÓï
null	Acoustic coloring	ÉùÈ¾É«	ÒôÆµĞ§¹û ´¦Àí
null	Acoustic image	ÉùÏñ	ÒôÆµĞ§¹û ´¦Àí
null	Across	½»²æ£¬²¢ĞĞ£¬¿ç½Ó	ÆäËû Í¨ÓÃÊõÓï
null	Across frequency	½»²æÆµÂÊ£¬·ÖÆµÆµÂÊ	ÒôÆµĞÅºÅ ²ÎÊı
ACST	access time	´æÈ¡Ê±¼ä	ÆäËû Í¨ÓÃÊõÓï
null	Active	Ö÷¶¯µÄ£¬ÓĞÔ´µÄ£¬ÓĞĞ§µÄ£¬ÔËĞĞµÄ	ÆäËû Í¨ÓÃÊõÓï
null	Active crossover	Ö÷¶¯·ÖÆµ£¬µç×Ó·ÖÆµ£¬ÓĞÔ´·ÖÆµ	ÒôÆµÓ²¼ş Éè±¸
null	Active loudsperker	ÓĞÔ´ÒôÏä	ÒôÆµÓ²¼ş Éè±¸
null	Armstrong MOD	°¢Ä·Ë¹ÌØÀÊµ÷ÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
ARP	azimuth reference pulse	·½Î»»ù×¼Âö³å	ÒôÆµĞÅºÅ ²ÎÊı
null	Arpeggio	ÅÃÒô	ÆäËû Í¨ÓÃÊõÓï
null	Articulation	ÉùÒôÇåÎú¶È£¬·¢Òô	ÆäËû Í¨ÓÃÊõÓï
null	Artificial	·ÂÿÿµÄ£¬ÈË¹¤µÄ£¬ÊÖ¶¯£¨¿ØÖÆ£©	ÆäËû Í¨ÓÃÊõÓï
AAD	active acoustic devide	ÓĞÔ´ÉùÑ§Èí¼ş	ÒôÆµÓ²¼ş Éè±¸
ABC	auto base and chord	×Ô¶¯µÍÒôºÏÏÒ	ÒôÆµĞ§¹û ´¦Àí
null	Architectural acoustics	½¨ÖşÉùÑ§	ÆäËû Í¨ÓÃÊõÓï
null	Arm motor	³ª±Û³ª»ú	ÒôÆµÓ²¼ş Éè±¸
null	Arpeggio single	ÅÃÒôºÍÏÒ£¬·Ö½âºÍÏÒ	ÆäËû Í¨ÓÃÊõÓï
ARL	aerial	ÌìÏß	ÒôÆµÓ²¼ş Éè±¸
ASC	automatic sensitivity control	×Ô¶¯ÁéÃô¶È¿ØÖÆ	ÒôÆµĞÅºÅ ²ÎÊı
ASGN	Assign	·ÖÅä£¬Ö¸¶¨£¬Éè¶¨	ÆäËû Í¨ÓÃÊõÓï
ASP	audio signal processing	ÒôÆµĞÅºÅ´¦Àí	ÒôÆµĞÅºÅ ²ÎÊı
ASS	assembly	×é¼ş£¬×°Åä£¬×Ü³É	ÆäËû Í¨ÓÃÊõÓï
ASSEM	assemble	»ã±à£¬¼ô¼­	ÆäËû Í¨ÓÃÊõÓï
ASSEM	Assembly	×é¼ş£¬×°Åä£¬×Ü³É	ÒôÆµĞ§¹û ´¦Àí
null	Assign	Ö¸¶¨£¬×ª·¢£¬·ÖÅä	ÆäËû Í¨ÓÃÊõÓï
null	Assist	¸¨Öú£¨×°ÖÃ£©	ÆäËû Í¨ÓÃÊõÓï
ASSY	accessory	×é¼ş£¬¸½¼ş	ÆäËû Í¨ÓÃÊõÓï
AST	active servo techonology	ÓĞÔ´ËÅ·ş¼¼Êõ	ÒôÆµĞ§¹û ´¦Àí
A	Tempo	»Øµ½Ô­ËÙ	ÒôÆµĞ§¹û ´¦Àí
null	Astigmatism methord	ÏóÉ¢·¨	ÆäËû Í¨ÓÃÊõÓï
B	band	Æµ´ø	ÆäËû Í¨ÓÃÊõÓï
B	Bit	±ÈÌØ£¬´æ´¢µ¥Ôª	ÒôÆµĞÅºÅ ²ÎÊı
B	Button	°´Å¥	ÆäËû Í¨ÓÃÊõÓï
null	Babble	¶àÂ·¸ĞÓ¦µÄ¸´ÔÓÊ§Õæ	ÆäËû Í¨ÓÃÊõÓï
null	Back	·µ»Ø	ÒôÆµĞ§¹û ´¦Àí
null	Back clamping	·´ÏòÇ¯Î»	ÆäËû Í¨ÓÃÊõÓï
null	Back drop	½»Á÷ºßÉù£¬¸ÉÈÅÉù	ÒôÆµĞ§¹û ´¦Àí
null	Background noise	±³¾°ÔëÉù£¬±¾µ×ÔëÉù	ÒôÆµĞ§¹û ´¦Àí
null	Backing copy	¸±°æ	ÆäËû Í¨ÓÃÊõÓï
null	Backoff	µ¹¿Û£¬²¹³¥	ÆäËû Í¨ÓÃÊõÓï
null	Back tracking	²¹Â¼	ÆäËû Í¨ÓÃÊõÓï
null	Back up	´Å´ø±¸·İ£¬Ö§³Ö£¬Ô¤±¸	ÆäËû Í¨ÓÃÊõÓï
null	Backward	¿ìµ¹ËÑË÷	ÆäËû Í¨ÓÃÊõÓï
null	Baffle box	ÒôÏä	ÒôÆµÓ²¼ş Éè±¸
BAL	balance	Æ½ºâ£¬Á¢ÌåÉù×óÓÒÉùµÀÒôÁ¿±ÈÀı£¬Æ½ºâÁ¬½Ó	ÒôÆµĞÅºÅ ²ÎÊı
null	Balanced	ÒÑÆ½ºâµÄ	ÒôÆµĞÅºÅ ²ÎÊı
null	Balancing	µ÷Áã×°ÖÃ£¬²¹³¥£¬ÖĞºÍ	ÆäËû Í¨ÓÃÊõÓï
null	Balun	Æ½ºâ=²»Æ½ºâ×ª»»Æ÷	ÒôÆµÓ²¼ş Éè±¸
null	Banana jack	Ïã½¶²åÍ·	ÒôÆµÓ²¼ş Éè±¸
null	Banana bin	Ïã½¶²å×ù	ÒôÆµÓ²¼ş Éè±¸
null	Banana pin	Ïã½¶²åÍ·	ÒôÆµÓ²¼ş Éè±¸
null	Banana plug	Ïã½¶²åÍ·	ÒôÆµĞÅºÅ ²ÎÊı
null	Band	Æµ¶Î£¬	ÒôÆµĞ§¹û ´¦Àí
null	Band pass	´øÍ¨ÂË²¨Æ÷	ÒôÆµĞÅºÅ ²ÎÊı
null	Bandwidth	Æµ´ø¿í£¬Îó²î£¬·¶Î§	ÆäËû Í¨ÓÃÊõÓï
null	Band	´æ´¢µ¥Ôª	ÒôÆµĞÅºÅ ²ÎÊı
null	Bar	Ğ¡½Ú£¬À­¸Ë	ÒôÆµĞÅºÅ ²ÎÊı
BAR	barye	Î¢°Í	ÒôÆµĞÅºÅ ²ÎÊı
null	Bargraph	ÏßÌõ	ÆäËû Í¨ÓÃÊõÓï
null	Barrier	¾øÔµ£¨Ì×£©	ÆäËû Í¨ÓÃÊõÓï
null	Base	µÍÒô	ÒôÆµĞÅºÅ ²ÎÊı
null	Bass	µÍÒô£¬±¶Ë¾£¨µÍÒôÌáÇÙ£©	ÒôÆµĞÅºÅ ²ÎÊı
null	Bass tube	µÍÒôºÅ£¬´óºÅ	ÒôÆµĞÅºÅ ²ÎÊı
null	Bassy	µÍÒô¼ÓÖØ	ÒôÆµĞÅºÅ ²ÎÊı
BATT	battery	µç³Ø	ÒôÆµÓ²¼ş Éè±¸
null	Baud	²¨ÌØ£¨ĞÅÏ¢´«ÊäËÙÂÊµÄµ¥Î»£©	ÒôÆµĞ§¹û ´¦Àí
null	Bazooka	µ¼ÏßÆ½ºâ×ª½ÓÆ÷	ÒôÆµĞÅºÅ ²ÎÊı
BB	base band	»ù´ø	ÒôÆµĞ§¹û ´¦Àí
BBD	Bucket brigade device	ìæÁ´Æ÷¼ş£¨Ğ§¹ûÆ÷£©	ÒôÆµĞÅºÅ ²ÎÊı
B	BAT Battery	µç³Ø	null
null	BBE	ÌØÖ¸BBE¹«Ë¾Éè¼ÆµÄ¸ÄÉÆ½Ï¸ß´ÎĞ³²¨Ğ£Õı³Ì¶ÈµÄÏµÍ³	null
BC	balanced current	Æ½ºâµçÁ÷	null
BC	Broadcast control	¹ã²¥¿ØÖÆ	null
BCH	band chorus	·ÖÆµ¶ÎºÏ³ª	null
BCST	broadcast	£¨ÎŞÏßµç£©¹ã²¥	null
BD	board	ÒÇ±í°å	ÒôÆµÓ²¼ş Éè±¸
null	Beat	ÅÄ£¬Âö¶¯ĞÅºÅ	null
null	Beat cancel switch	²îÅÄ¸ÉÈÅÏû³ı¿ª¹Ø	null
null	Bel	±´¶û	null
null	Below	ÏÂÁĞ£¬ÏòÏÂ	null
null	Bench	¹¤×÷Ì¨	null
null	Bend	ÍäÇú£¬»¬Òô	ÒôÆµĞ§¹û ´¦Àí
null	Bender	»¬ÒôÆ÷	null
BER	bit error rate	ĞÅÏ¢²î´íÂÊ	null
BF	back feed	·´À¡	null
BF	Backfeed flanger	·´À¡Ïâ±ß	null
BF	Band filter	´øÍ¨ÂË²¨Æ÷	null
BGM	background music	±³¾°ÒôÀÖ	null
null	Bias	Æ«ÖÃ£¬Æ«´Å£¬Æ«Ñ¹£¬¼È¶¨³ÌĞò	null
null	Bidirectional	Ë«ÏòĞÔµÄ£¬8×ÖĞÍÖ¸ÏòµÄ	null
null	Bifess Bi-feedback sound system	Ë«·´À¡ÏµÍ³	null
null	Big bottom	µÍÒôÀ©Õ¹£¬¼ÓÖØµÍÒô	null
null	Bin	½ÓÊÕÆ÷£¬²ÖÊÒ	null
null	BNG	BNCÁ¬½ÓÆ÷£¨²åÍ·¡¢²å×ù£©£¬¿¨¿ÚÍ¬ÖáµçÀÂÁ¬½ÓÆ÷	ÒôÆµÓ²¼ş Éè±¸
null	Binaural effect	Ë«¶úĞ§Ó¦£¬Á¢ÌåÉù	null
null	Binaural synthesis	Ë«¶úºÏ³É·¨	null
null	Bin go	ÒâÍâÏÖÏó	null
null	Bit binary digit	×Ö½Ú£¬¶ş½øÖÆÊı×Ö£¬Î»	null
null	Bitstream	ÊıÂëÁ÷£¬±ÈÌØÁ÷	null
null	Bit yield	´æ´¢µ¥Ôª	null
null	Bi-AMP	Ë«£¨Í¨µÀ£©¹¦·ÅÏµÍ³	null
null	Bi-wire	Ë«Ïß£¨´«Êä¡¢·ÖÒô£©	null
null	Bi-Wring	Ë«Ïß	null
BK	break	Í£¶Ù£¬¼ä¶Ï	null
BKR	breaker	¶ÏµçÆ÷	null
null	Blamp	Á½Â·µç×Ó·ÖÒô	null
null	Blanking	¹Ø±Õ£¬ÏûÒş£¬¶ÏÂ·	null
null	Blaster	±¬ÁÑĞ§¹ûÆ÷	null
null	Blend	ÈÚºÏ£¨¶È£©¡¢µ÷ºÍ¡¢»ìºÏ	null
null	Block	·Ö³ÌĞò£¬Áª¶¯£¬ÖĞ¶Ï	null
null	Block Repeat	·Ö¶ÎÖØ¸´	null
null	Block up	×èÈû	null
null	Bloop	£¨´Å´øµÄ£©½ÓÍ·ÔëÉù£¬ÏûÒôÌùÆ¬	null
BNC	bayonet connector	¿¨¿ÚµçÀÂÁ¬½ÓÆ÷	null
null	Body mike	Ğ¡ĞÍ»°Í²	ÒôÆµÓ²¼ş Éè±¸
null	Bond	½ÓÍ·£¬Á¬½ÓÆ÷	ÒôÆµÓ²¼ş Éè±¸
null	Bongo	°î¸ê¹Ä	null
null	Boom	»ìÏì£¬ºäÃùÉù	null
null	Boomy	ÎËÎËÉù£¨Ö¸µÍÒô¹ıÇ¿£©	null
null	Boost	ÌáÉı£¨Ò»°ãÖ¸µÍÒô£©£¬·Å´ó£¬ÔöÇ¿	null
null	Booth	¿ØÖÆÊÒ£¬Â¼ÒôÅï	null
null	Bootstrap	¸¨Öú³ÌĞò£¬×Ô¾ÙµçÂ·	null
null	Both sides play disc stereo system	Ë«ÃæÑİ×àÊ½³ªÆ¬Á¢ÌåÉùÏµÍ³	null
null	Bottoming	µ×²¿ÇĞ³ı£¬Ä©¶ËÇĞ³ı	null
null	Bounce	ºÏ²¢	null
null	Bourclon	µ¥µ÷µÍÒô	null
null	Bowl	Íë×´ÌåÓı³¡Ğ§¹û	null
BP	bridge bypass	µçÇÅÅÔÂ·	null
BY	bypass	ÅÔÍ¨	null
BPC	basic pulse generator	»ù×¼Âö³å·¢ÉúÆ÷	null
BPF	band pass filter	´øÍ¨ÂË²¨Æ÷	null
BPS	band pitch shift	·ÖÆµ¶Î±äµ÷½ÚÆ÷	null
BR	bregister	±äÖ·¼Ä´æÆ÷	null
BR	Bridge	µçÇÅ	null
null	Break	ÖĞÖ¹£¨³ÌĞò£©£¬¼õÈõ	null
null	Breathing	´­Ï¢Ğ§Ó¦	null
null	B.Reso base resolve	»ù±¾½âÎö¶È	null
null	Bridge	ÇÅ½Ó£¬µçÇÅ£¬ÇÅ£¬£¨ÀÖÇúµÄ£©±ä×à¹ı¶É	null
null	Bright	Ã÷ÁÁ£¨¸Ğ£©	null
null	Brightness	Ã÷ÁÁ¶È£¬Ö¸ÖĞ¸ßÒôÌıÒô¸Ğ¾õ	null
null	Brilliance	ÏìÁÁ	null
BRKRS	breakers	¶ÏÂ·Æ÷	null
null	Broadcast	¹ã²¥	null
BTB	bass tuba	µÍÒô´óÀ®°È	null
BTL	balanced transformer-less	ÇÅÊ½ÍÆÍì·Å´óµçÂ·	null
BTM	bottom	×îĞ¡£¬µÍÒô	null
BU	backup nuit	±¸ÓÃÆ÷¼ş	null
null	Bumper	¼õÕğÆ÷	null
null	Bus	Ä¸Ïß£¬×ÜÏß	null
null	Busbar	Ä¸Ïß	null
null	Buss	Ä¸Ïß	null
null	Busy	Õ¼Ïß	null
BUT	button	°´Å¥£¬ĞıÅ¥	null
BW	band width	Æµ´ø¿í¶È£¬´ø¶È	null
BYP	bypass	ÅÔÂ·	null
null	By path	ÅÔÂ·	null
BZ	buzzer	·äÒôÆ÷	null
C	cathode	Òõ¼«£¬¸º¼«	null
C	Cell	µç³Ø	null
C	Center	ÖĞĞÄ	null
C	Clear	Çå³ı	null
C	Cold	Àä£¨¶Ë£©	null
CA	cable	µçÀÂ	null
null	Cable	µçÀÂ	null
null	Cabinet	Ğ¡²Ù×İÌ¨	null
CAC	coherent acoustic coding	Ïà¸ÉÉùÑ§±àÂë	null
null	Cache	»º³å´æ´¢Æ÷	null
null	Cal calando	¼õĞ¡ÒôÁ¿	null
CAL	Calendar	·ÖÀà	null
CAL	Caliber	¿Ú¾¶	null
CAL	Calibrate	±ê×¼»¯	null
CAL	Continuity accept limit	Á¬ĞøĞÔ½ÓÊÜ¼«ÏŞ	null
null	Calibrate	Ğ£×¼£¬¶¨±ê	null
null	Call	È¡»Ø£¬¸´³ö£¬ºô³ö	null
null	Can	¼àÌı¶ú»ú£¬´øºĞ	null
CANCL	cancel	É¾³ı	null
CANCL	Cancelling	Ïû³ı	null
null	Cancel	È¡Ïû	null
null	Cannon	¿¨Ù¯½Ó¿Ú	null
null	Canon	¹æÔò	null
null	Cap	µçÈİ	null
null	Capacitance Mic	µçÈİ»°Í²	null
null	Capacity	¹¦ÂÊ£¬µçÈİÁ¿	null
CAR	carrier	ÔØ²¨£¬Ö§×ù£¬¼¦ĞÄ¼ĞÍ·	null
null	Card	³ÌĞòµ¥£¬²å¼ş°å	null
null	Cardioid	ĞÄĞÍµÄ	null
CATV	cable television	ÓĞÏßµçÊÓ	null
null	Crispness	´àÉù	null
null	Category	ÖÖÀà£¬ÀàĞÍ	null
null	Cartridge	Èí¼ş¿¨£¬Ê°ÒôÍ·	null
null	Carrkioid	ĞÄĞÍ»°Í²	null
null	Carrier	ÔØ²¨Æ÷	null
null	Cart	×ªÔË	null
null	Cartridge	ºĞÊ½´æ´¢Æ÷£¬ºĞÊ½´Å´ø	null
null	Cascade	´®Áª	null
null	Cassette	¿¨Ê½µÄ£¬ºĞÊ½µÄ	null
CAV	constant angular velocity	ºã½ÇËÙ¶È	null
null	Caution	±¨¾¯	null
CBR	circuit board rack	µçÂ·°å¼Ü	null
CC	contour correction	ÂÖÀªĞ£Õı	null
CCD	charge coupled device	µçºÉñîºÏÆ÷¼ş	null
CD	compact disc	¼¤¹â³ªÆ¬	null
CDA	current dumping amplifier	µçÁ÷·Å´óÆ÷	null
